"j","t","k","omega","wage","iota","l","l_error","inv","eta","y","y_error","nu"
1,1,0.686773094628834,0.794634504857576,0.5,-0.044307479268116,1.72385617402951,1.66847182494436,0.25728172746364,0.147822983990262,2.76796988989392,2.75689302007689,NA
2,1,1.09182166211104,0.778508008700879,0.5,-0.0961127448135251,2.05811555038057,1.93797461936366,0.380956664796816,0.0773217456132432,3.03172802786796,3.00769984166458,NA
3,1,0.582185693794976,-0.6096662889773,0.5,0.0809850372031665,-0.123033793993715,-0.0218024974897567,-0.0196296782792622,0.259279434454182,1.03253637233462,1.05278263163541,NA
4,1,1.7976404010689,0.147541620826578,0.5,0.0259634952332192,1.88699896212581,1.91945333116734,0.390816593205552,-0.160711671501554,2.62257802249841,2.62906889630672,NA
5,1,1.16475388590768,0.0485866714683424,0.5,-0.00279249659170105,1.20952957466195,1.20603895392233,0.175829376934917,-0.320525133717286,1.78529517281882,1.7845970486709,NA
6,1,0.589765807940992,-1.16408703768328,0.5,0.0348208805059256,-0.809427129998428,-0.765901029366021,-0.119772479231356,0.186650194110461,0.273513795986188,0.28221901611267,NA
7,1,1.24371452621424,0.567701537787921,0.5,0.00267578394146069,1.92751371782967,1.9308584477565,0.370329427712235,0.361217850781732,3.18502230048556,3.18569124647092,NA
8,1,1.36916235256461,-1.33890986598971,0.5,-0.0655141748596536,-0.345983688835798,-0.427876407410365,-0.32986402694237,-0.0113007265129281,0.539006316525429,0.522627772810515,NA
9,1,1.28789067582675,-0.872901998017665,0.5,-0.1061533029049,0.165413428983627,0.0327218003525018,-0.135181893125765,0.377182263779449,1.43888642463723,1.41234809891101,NA
10,1,0.847305806421822,0.698847895098894,0.5,-0.0104039294503827,1.74458903465002,1.73158412283704,0.279733398285511,0.315676685684809,2.95655645220898,2.95395546984639,NA
11,1,1.75589058422542,-0.378686666068445,0.5,-0.0156393289760178,1.192682513769,1.17313335254897,0.0702234447714829,0.100456924862828,2.18943017050598,2.18552033826197,NA
12,1,1.19492161820572,-0.151493355247696,0.5,-0.0529117854840618,0.985826307027687,0.91968657517261,0.115122159599215,0.0859828425111159,1.96809988141296,1.95487193504194,NA
13,1,0.689379709729098,-1.13558324435446,0.5,0.0208611797783229,-0.686635224272813,-0.66055874954991,-0.126638641608762,-0.253129105776959,-0.0434735981756172,-0.0382583032310365,NA
14,1,-0.10734994358875,-1.01587797169552,0.5,-0.0157725767107925,-1.23414208010225,-1.25385780099074,-0.0463367420865004,0.447246466109106,0.109395117881016,0.105451973703318,NA
15,1,1.56246545907155,0.245685953586894,0.5,0.0412774567040995,1.80390130382853,1.85549812470866,0.355734584595371,0.0663936755713025,2.76658571127399,2.77690507545002,NA
16,1,0.977533195492385,-0.122207294015295,0.5,0.0645636018789088,0.832219013694025,0.912923516042661,0.1004132078431,-0.0278564771135471,1.70065326845463,1.71679416892436,NA
17,1,0.991904868450527,-0.414082753985419,0.5,-0.0312552488958191,0.479949902569743,0.440880841449969,0.0231664324273159,-0.146918765125163,1.22932186931874,1.22150805709478,NA
18,1,1.47191810534265,-0.934005902491607,0.5,-0.043757337727462,0.250057549217616,0.195360877058289,-0.189121780071984,-0.555518552784785,0.590829728306986,0.579890393875121,NA
19,1,1.41061059754904,-0.768262618726671,0.5,0.00716784714040299,0.403592584604382,0.412552393529885,-0.10994628472893,-0.0645707917566925,1.23531252472184,1.23710448650695,NA
20,1,1.29695066060875,1.4255576666052,0.5,0.0712594816628881,3.04641549644647,3.13548984852508,0.70439302133122,-0.207117294753187,3.73558893356744,3.75340380398316,NA
21,1,1.45948868580411,-0.228588437622586,0.5,-0.08673747130152,1.12095363820767,1.01253179908077,0.116808978951062,0.01095053003934,2.02819490012116,2.00651053229578,NA
22,1,1.39106815036553,0.541912041663778,0.5,-0.0418702323511214,2.02421126880687,1.97187347836797,0.418759120470942,0.308736983749885,3.22923898443091,3.21877142634313,NA
23,1,1.0372824916826,0.549614414352854,0.5,-0.0357876307694969,1.72427678332064,1.67954224485877,0.296152803738734,0.192889250873061,2.81345676606786,2.80450985837549,NA
24,1,0.0053241520683136,0.534379142760399,0.5,0.0187410479021331,0.802269146667579,0.825695456545245,0.103990102122922,-0.366460569757762,1.33209930878397,1.33678457075951,NA
25,1,1.30991287394736,0.206407417307962,0.5,0.119166398098486,1.53381962149619,1.6827776191193,0.261784050809091,0.026592268537325,2.45670262190767,2.4864942214323,NA
26,1,0.9719356302355,-0.876824529366731,0.5,-0.023195648078091,-0.115950400095046,-0.14494496019266,-0.0995968140862798,-0.206680407692227,0.573659924086882,0.56786101206736,NA
27,1,0.922102246647335,-0.706793999877446,0.5,-0.0213250201059311,0.0529835511269174,0.0263272759945037,-0.0519998212842602,-0.345657442678383,0.603616840322689,0.598285585296206,NA
28,1,0.264623808050363,0.526079062518344,0.5,-0.0851547607199102,1.0187812453493,0.912337794449416,0.133692020045473,-0.231974206361106,1.68309777086235,1.66180908068237,NA
29,1,0.76092497244569,-0.916030683268865,0.5,-0.0520748678014926,-0.349592418038797,-0.414686002790662,-0.0890411742568889,-0.278688720193232,0.268009593642126,0.254990876691753,NA
30,1,1.20897078009985,0.369351945722218,0.5,0.0384367481006117,1.64917594989745,1.69722188502321,0.291235940633453,-0.200386289062837,2.34508039270877,2.35468957973392,NA
31,1,1.67933977576452,-0.373552419460573,0.5,-0.037266018871818,1.13211836462555,1.08553584103577,0.0678013781862188,0.269678388603722,2.29808748510342,2.28877098038547,NA
32,1,0.948606136328502,-0.278918999244892,0.5,-0.0243235747753901,0.611018205388631,0.580613736919394,0.0570855030253051,-0.355167277482707,1.15214165978008,1.14606076608623,NA
33,1,1.19383580577968,-0.552809188242424,0.5,-0.0176519722419334,0.4832314299115,0.461166464609083,-0.0174255219119102,0.0740749388377773,1.45359710062343,1.44918410756295,NA
34,1,0.973097479708547,-0.161131024817612,0.5,-0.00311502621994226,0.77968309888027,0.775789316105342,0.0896690719680387,0.00839211726488475,1.68436594801931,1.68358719146432,NA
35,1,0.311470221585697,0.614152231888139,0.5,0.0809807554779792,1.16986331890496,1.27108926325244,0.152129813590372,-0.0265500976596285,2.03960395311949,2.05984914198899,NA
36,1,0.79250271835016,0.317676765986826,0.5,0.0623105703128197,1.22017242119723,1.29806063408825,0.180618077389425,-0.00278840504263351,2.11367474802875,2.12925239060696,NA
37,1,0.802855023144825,-0.162757458153821,0.5,0.100429497786963,0.628687907716752,0.754224779950456,0.075269297081812,-0.0732078600863793,1.45177077950453,1.47687815395127,NA
38,1,0.970343301644407,0.609125704609069,0.5,-0.0927209756412037,1.7400941048575,1.62419288530599,0.292681661570607,-0.0210347892333945,2.61535004749826,2.59216980358796,NA
39,1,1.55001268599194,1.15943452400091,0.5,-0.0231357191244738,2.93519084040139,2.9062711914958,0.781847546427954,0.332048875427836,4.16353044770338,4.15774651792226,NA
40,1,1.38158787422877,-0.00445914215802369,0.5,0.0521551916663643,1.33295204740995,1.39814603699291,0.197285632423114,0.311015524387671,2.54025830367178,2.55329710158837,NA
41,1,0.917738201873207,0.329408505466014,0.5,-0.0151918760685901,1.34441814362888,1.32542829854314,0.207652479672417,0.0886409881617385,2.32934986366477,2.32555189464763,NA
42,1,0.873319159931746,0.194792016645268,0.5,0.0159040350018995,1.13728087090417,1.15716091465654,0.166392026752921,-0.087733344285956,1.94583825849237,1.94981426724284,NA
43,1,1.34848168770237,-0.68466900621004,0.5,-0.0324374504225409,0.453721804134329,0.413174991106153,-0.071126619482637,0.241973691071182,1.59198622707967,1.58387686447403,NA
44,1,1.27833159933683,-0.648740060491661,0.5,-0.0934452171764903,0.437251658962455,0.320445137491843,-0.0534072619509962,-0.284585198971769,1.04895719186484,1.02559588757072,NA
45,1,0.65562215272524,1.34410817235685,0.5,-0.060349828932273,2.38344118423796,2.30800389807261,0.355238048507074,-0.0117795327064161,3.26795238340569,3.25286492617263,NA
46,1,0.64625242151894,0.617017867359623,0.5,0.0948629028828273,1.46637978818591,1.58495841678944,0.213168966952276,0.0407472598396773,2.40341777989974,2.42713350562045,NA
47,1,1.18229098106842,0.519561162974431,0.5,-0.0130792779733375,1.81359264731021,1.79724354984354,0.332564381325214,0.148602127093223,2.85848550627759,2.85521568678425,NA
48,1,1.38426646225771,0.10332204931132,0.5,0.0893990858068623,1.47002230127195,1.58177115853053,0.240839925167498,-0.0755397866130282,2.29077324653308,2.31312301798479,NA
49,1,0.943826893924886,0.339839970286805,0.5,0.0433650257788799,1.38028508020009,1.43449136242369,0.215821820691023,0.475736035351148,2.75231184742539,2.76315310387011,NA
50,1,1.44055386322711,0.106320493907803,0.5,0.0351290468952099,1.52302183286578,1.56693314148479,0.256051215325561,-0.177586391408562,2.24172617333137,2.25050843505517,NA
51,1,1.19905294018353,0.0294050094511974,0.5,0.081176611977451,1.2155641696319,1.31703493460371,0.175602268458244,-0.20721524992843,1.90463965157762,1.92493380457198,NA
52,1,0.693986803374614,0.156426906870672,0.5,-0.0795079354623872,0.932408671698433,0.83302375237045,0.131395657864419,0.473557284510422,2.30225668808301,2.28237970421741,NA
53,1,1.17055984571221,-0.707467067768676,0.5,-0.0304995607261283,0.269542615444647,0.231418164536987,-0.0668831702853328,0.112230807961965,1.27806415528077,1.27043926509924,NA
54,1,0.435318451959604,1.68119174335909,0.5,-0.0156640566867668,2.61202990982082,2.59244983896236,0.337093397760247,-0.0891880104203417,3.41913263127463,3.41521661710294,NA
55,1,1.71651185085052,0.561485561533882,0.5,-0.0461064884043242,2.33344140656886,2.27580829606346,0.59072549672623,-0.186883302269461,3.04284883617356,3.03132221407248,NA
56,1,1.99019994925293,-0.175880750937461,0.5,-0.0128240303978169,1.65121060208179,1.63518056408452,0.237157945766789,0.095900311433135,2.64340164538908,2.64019563778963,NA
57,1,0.816389261766745,0.849192415050721,0.5,-0.104142731861702,1.90546770801661,1.77528929318948,0.30523001811639,0.0473961099512896,2.84915454984205,2.82311886687663,NA
58,1,0.477932686841735,-0.43916850268908,0.5,-0.0708576989668598,-0.00113294221752586,-0.0897050659261008,0.00981052016921469,-0.267880481596375,0.627277308060254,0.609562883318539,NA
59,1,1.28485981372121,1.19805058931677,0.5,0.0305390504852372,2.75145215880932,2.78962597191587,0.613702866741993,-0.0214858066930061,3.62625708399047,3.63389184661178,NA
60,1,0.932472698059588,-0.276116715982568,0.5,0.0120760398957146,0.600404300981236,0.615499350850879,0.0568839067740823,0.115544624787223,1.61223965764261,1.61525866761654,NA
61,1,2.20080888025239,-1.62536870577137,0.5,0.0651982411262852,0.0236334731639351,0.105131274571791,-1.01646864511533,0.090811376171588,1.01073558120968,1.02703514149125,NA
62,1,0.980379998633415,0.955074470779165,0.5,-0.0167264288924791,2.1813121724355,2.1604041363199,0.387845578405036,-0.238064566260431,2.83953833804922,2.8353567308261,NA
63,1,1.34486968122539,0.79271895255819,0.5,-0.0192269947744238,2.29729624692726,2.27326250345923,0.496104992441182,0.394641980592149,3.58822895939356,3.58342221069996,NA
64,1,1.01400107939033,-0.542129860367936,0.5,-0.0210584105990648,0.339225204163928,0.312902190915097,-0.0116135526503144,-0.215207496658724,1.02030843937936,1.01504383672959,NA
