"i","t","v_x_1","v_x_2","v_x_3","v_p"
1,1,-1.37261893818149,0.211029380210607,1.64835970592763,0.0141058535048349
2,1,1.3713157196375,0.378167120105688,1.34785437804186,0.387255014867857
3,1,-2.05903504695749,-0.0662059205569723,-2.44578608701523,-1.16925896804388
4,1,-0.991525489635035,-0.726989644634886,-1.32807013737256,-1.41726020386702
5,1,0.251933894205604,1.87011435222603,0.751035247104962,0.317170877418877
6,1,-1.06394509590109,-0.530545516237108,1.33510258952404,-0.223747051432759
7,1,-0.216902254955934,1.03140887964901,0.909156493434676,-0.592692395921938
8,1,-0.83824897316637,-0.861078064185054,-0.612314858936351,1.53636120764271
9,1,0.658773629809864,-1.42616577638565,-1.77219262119729,0.339666756156776
10,1,0.452007547357976,-0.239032649311364,0.138121750613573,0.695302390703715
11,1,0.799963792617058,0.501583651178,0.769785441385309,-1.07416219900552
12,1,0.364728688475606,0.294574925925613,-1.06679744434025,-0.962830842355776
13,1,2.08594617370458,2.62541128304054,0.282855104054085,-1.54391699569105
14,1,-0.0714848555619568,-0.760683166669325,0.486626933600167,0.33642982273313
15,1,0.202338215742887,-0.408420412078865,-0.0580832922287154,1.11547843603284
16,1,-1.5297686336941,1.13516700043103,-1.35305941390225,1.12474628681994
17,1,-0.338088145537669,-0.550669326808155,0.604554184453276,-0.0490964636896478
18,1,0.954136361808257,-1.24301100137176,0.451052639480866,0.572975318980274
19,1,0.0818425227231235,0.490492610027777,-0.532218533907018,-0.579452374476015
20,1,1.7080180168601,-1.89157214465565,-1.45762757249254,2.20241871701128
21,1,2.00605303820361,0.278764416791342,-1.57507362550114,-1.52239998206839
22,1,-0.787921347136684,-1.80328572740803,0.798610971414925,0.391032166675045
23,1,-2.01024918737741,-0.0868992453161308,-2.06071938961876,-0.808188533935598
24,1,1.13637384584441,-0.889383106620243,-0.187649923262776,0.231884727725181
25,1,1.86507711152076,-0.0731873522065825,-1.04777571801647,-1.6836723844332
26,1,1.02461750297628,0.46163531039267,0.792754240552025,-1.53040559230586
27,1,-0.212386239158211,1.12567978769218,0.346367438038905,0.210273839412511
28,1,0.211036284752331,-0.650851271327053,1.24646528076958,-1.49454629761158
29,1,0.446075601086465,-0.865343397559903,0.165428153238071,-1.60808603517319
30,1,0.520599678232113,-2.31780709915328,-0.153659596450713,0.832370935286511
31,1,0.377561918114446,-2.37434828842961,0.197163653333597,0.467191190228743
32,1,-0.623658808865915,-2.8116110270442,-1.69391093909821,-1.00721544542479
33,1,-0.572610525202765,-0.60338270078119,-0.296295728553278,-0.683142862777936
34,1,0.312501153196823,0.579482152780971,0.63174347241783,-1.49569727041613
35,1,-0.707427833089473,3.07332530501545,0.802949170190603,-2.61704059873474
36,1,0.52120348534775,1.08972296574334,-0.394016543250624,0.759961171972888
37,1,0.448187980908179,-0.675493638741785,0.230137687488545,2.36441701544014
38,1,-0.50532260598478,1.50783482574125,0.211159558643605,-1.15713664314061
39,1,-0.206612153485113,-0.814196741269874,1.9271315104615,0.988080532653326
40,1,0.0296140196264106,0.578848839767927,0.219060591377637,-0.677515154448799
41,1,2.05234415242859,-1.80957892893606,-1.42881073267813,0.451991282500802
42,1,-0.768557600478008,-0.222257377598139,-1.40462747293676,0.807199029466814
43,1,-0.565258779463758,0.841162750033463,-0.0667397615585127,0.881927220592524
44,1,1.66666340779812,-1.56995014216157,-0.0620817491297994,-0.126079681394333
45,1,-1.54040100708771,-0.333767522643541,1.72955904763347,-1.0433132000457
46,1,1.14504612633599,0.520813705311253,1.3561080821938,-0.938326896588065
